Title (auto)	DMDb: Title	SoS: Title	SoS: Original Title	Wikipedia: Title	IMDb HoH: Title	IMDb Deaf Movies: Title	IMDb Deaf Characters: Title	HollywoodSpeaks: Title	Year (auto)	DMDb: Release Date	SoS: Year	Wikipedia: Year	IMDb HoH: Year	IMDb Deaf Movies: Year	IMDb Deaf Characters: Year	HollywoodSpeaks: Year	IMDb ID (auto)	DMDb: IMDb ID	SoS: IMDb ID	IMDb HoH: IMDb ID	IMDb HoH: IMDb URL	IMDb Deaf Movies: IMDb ID	IMDb Deaf Movies: IMDb URL	IMDb Deaf Characters: IMDb ID	IMDb Deaf Characters: IMDb URL	Wikidata ID (auto)	Wikipedia: Wikidata ID	Wikipedia: Article	Wikipedia: URL	Sources	IMDb URL (auto)	Wikipedia URL (auto)	Lookup Notes (auto)	Wikipedia: Description	IMDb HoH: Description	IMDb HoH: Notes	IMDb Deaf Movies: Description	IMDb Deaf Characters: Description	DMDb: Synopsis	SoS: Summary	HollywoodSpeaks: Synopsis	DMDb: Deaf Actor	DMDb: Deaf Director	DMDb: Deaf Writer	DMDb: Deaf Editor	HollywoodSpeaks: Deaf Characters	DMDb: Category	SoS: Tags	SoS: Format	DMDb: Genre	DMDb: Duration	HollywoodSpeaks: Length	DMDb: Language	SoS: Languages	DMDb: Country	SoS: Countries	DMDb: Sign Language %	SoS: Director/Creator	DMDb: Company	DMDb: Free To Watch	DMDb: URL	SoS: Platforms	HollywoodSpeaks: Studio/Producer	HollywoodSpeaks: Page	IMDb ID (manual)	Wikidata ID (manual)
All About Steve		All About Steve		All About Steve					2009		2009	2009														Q590813	Q590813	All About Steve	https://en.wikipedia.org/wiki/All_About_Steve	Sign on Screen; Wikipedia				American romantic comedy features a subplot involving a group of deaf children (played by a group of deaf child actors) who fall into a mineshaft and need to be rescued; Mary (Sandra Bullock) accidentally falls in herself, and discovers a child (played by deaf child actress Delaney Hamilton) who has been left behind, and helps her to be rescued. Deaf actor Tyrone Giordano also appears in the film in a small role as the father of one of the deaf children.						Polyglot main character (Sandra Bullock) knows American Sign Language (ASL) and is trapped in a well with a deaf child								deaf child; survival narrative	Feature					American Sign Language (ASL); English; French; Spanish		US		Phil Traill							tt0881891	Q590813
All of Me								All of Me	1953							1953														Hollywood Speaks											This is a biographical sketch of the popular hard-of-hearing singer Johnny Ray.					Johnny Ray						Not specified in Filmography											Twentieth Century-Fox	117	–	–
All Over the Guy		All Over the Guy							2001		2001																			Sign on Screen										Romantic comedy includes deaf male love interest									Feature					English		US		Julie Davis							tt0250202	Q2470058
All the Silence		All the Silence	Todo el silencio	All the Silence	All the Silence				2023		2023	2023	2023				tt29419593		tt29419593	tt29419593	https://www.imdb.com/title/tt29419593/?ref_=ls_t_175							All the Silence		Sign on Screen; Wikipedia; IMDb HoH				Mexican drama about an actress and sign language teacher who learns she will soon become deaf, and struggles to accept this, despite her deaf parents, friends, and girlfriend.	Miriam an actress who is also a sign language teacher, but is not deaf herself, will go on a downward spiral when she learns she will become fully deaf. Despite every deaf person in her life she refuses to accept a world without sound.					A hearing sign language teacher experiences a crisis as she starts to rapidly go deaf herself								deafened by illness; progressive hearing loss	Feature					Mexican Sign Language; Spanish		Mexico		Diego del Rio							tt29419593	Q126734984
Almost		Almost							2020		2020						tt11767360		tt11767360											Sign on Screen										Drama short in British Sign Language (BSL) about an encounter between two young women. Includes deaf actors Nadeem Islam, Rose Ayling-Ellis and Vilma Jackson								deaf actor; deaf director; drama	Short					British Sign Language (BSL); English		UK		Teresa Garratty							tt11767360	–
Alone Yet Not Alone		Alone Yet Not Alone							2013		2013						tt1986769		tt1986769											Sign on Screen										Two German sisters migrate to the colonial US and are abducted by Delaware warriors, includes passages in sign language								Indigenous character/themes; sibling relationship; religion; western	Feature					English; Plains Indian Sign Language (PISL or Hand Talk)		US		Ray Bengston; George D. Escobar							tt1986769	Q16159660
Alpine Fire		Alpine Fire	L'Ame soeur						1985		1985																			Sign on Screen										An isolated family living in the Swiss Alps includes a deaf brother and hearing sister; she tutors him and they develop an incestuous relationship								deaf child hearing parent; family drama; isolation; sibling relationship	Feature					Swiss German		Switzerland		Fredi M. Murer								
Always Chasing Love		Always Chasing Love							2016		2016						tt6069310		tt6069310											Sign on Screen										Drama featuring mostly deaf actors (Alexandria Wailes, Hillary Baack, Modela Kurzet) about the search for their birth parents after entering the foster care system								adoption/foster care; born deaf; deaf actor; deaf child; deaf child hearing parent; drama	Feature					American Sign Language (ASL); English; Italian		US		Jadolphus Fraser							tt6069310	–
American De’VIA Artist: Chuck Baird and his Journey		American De’VIA Artist: Chuck Baird and his Journey							2010		2010																			Sign on Screen										Documentary about founding De'VIA (Deaf View/Image Art) artist, Chuck Baird								deaf artist; Deaf Culture	Documentary					American Sign Language (ASL); English		US		Tracey Salaway							–	–
American Diablo		American Diablo							2021		2021						tt14810324		tt14810324											Sign on Screen										"Horror thriller with the tagline ""A Deaf Superhero For The Voiceless"", about a deaf undocumented Latina woman played by Stephanie Nogueras who must escape the Devil"								deaf actor; deaf superhero; horror; religion; survival narrative	Short					American Sign Language (ASL); English		US		Juan Carlos Castañeda							tt14810324	–
