Title (auto)	DMDb: Title	SoS: Title	SoS: Original Title	Wikipedia: Title	IMDb HoH: Title	IMDb Deaf Movies: Title	IMDb Deaf Characters: Title	HollywoodSpeaks: Title	Year (auto)	DMDb: Release Date	SoS: Year	Wikipedia: Year	IMDb HoH: Year	IMDb Deaf Movies: Year	IMDb Deaf Characters: Year	HollywoodSpeaks: Year	IMDb ID (auto)	DMDb: IMDb ID	SoS: IMDb ID	IMDb HoH: IMDb ID	IMDb HoH: IMDb URL	IMDb Deaf Movies: IMDb ID	IMDb Deaf Movies: IMDb URL	IMDb Deaf Characters: IMDb ID	IMDb Deaf Characters: IMDb URL	Wikidata ID (auto)	Wikipedia: Wikidata ID	Wikipedia: Article	Wikipedia: URL	Sources	IMDb URL (auto)	Wikipedia URL (auto)	Lookup Notes (auto)	Wikipedia: Description	IMDb HoH: Description	IMDb HoH: Notes	IMDb Deaf Movies: Description	IMDb Deaf Characters: Description	DMDb: Synopsis	SoS: Summary	HollywoodSpeaks: Synopsis	DMDb: Deaf Actor	DMDb: Deaf Director	DMDb: Deaf Writer	DMDb: Deaf Editor	HollywoodSpeaks: Deaf Characters	DMDb: Category	SoS: Tags	SoS: Format	DMDb: Genre	DMDb: Duration	HollywoodSpeaks: Length	DMDb: Language	SoS: Languages	DMDb: Country	SoS: Countries	DMDb: Sign Language %	SoS: Director/Creator	DMDb: Company	DMDb: Free To Watch	DMDb: URL	SoS: Platforms	HollywoodSpeaks: Studio/Producer	HollywoodSpeaks: Page	IMDb ID (manual)	Wikidata ID (manual)
Punk Chef	Punk Chef								2013	April 1, 2013																				DMDb									Lifestyle programme in which the Punk Chef helps Deaf people to eat healthier food. 63% of Deaf people are overweight, compared to 12% of hearing people, with Deaf people twice as likely to have heart disease. Presented by Scott Garthwaite.								x Docuseries by Deaf Directors; x Docuseries			Documentary; Reality-TV	24 minutes		British Sign Language		United Kingdom; EUR		50-100% Sign Language Usage		BSLZone	Free Docuseries	https://deafmovie.org/title/punk-chef/					
Pursuit to Algiers		Pursuit to Algiers							1945		1945																			Sign on Screen										Crime drama includes deaf gangster side character								crime/mystery; deaf villain/suspect; drama	Feature					English		US		Roy William Neill								
Puss in Boots in German Sign Language		Puss in Boots in German Sign Language	Die gestiefelte Katze in deutscher Gebärdensprache						2021		2021																			Sign on Screen										Children's German Sign Language animated rendition of the fairy tale Puss in Boots								all/most dialogue in sign language	Children's short					German Sign Language (DGS)		Germany		Britt Dunse								
Pyare Mohan		Pyare Mohan							2006		2006																			Sign on Screen										Crass comedy about deaf and blind best male friends dating female twins who are falsely accused of murder								comedy; deaf-hearing relationship; deaf and blind character pairing; deaf villain/suspect; disability; friendship	Feature					Hindi		India		Ravinddra Khare; Indra Kumar								
The Queen of Silence		The Queen of Silence							2014		2014																			Sign on Screen										Musical about a deaf Roma girl who loves Bollywood musicals								deaf musician/dancer; drama; music	Feature					Polish; Romanian Sign Language (LSR); Romany		Germany; Poland		Agnieszka Zwiefka								
The Quiet	The Quiet	The Quiet				The Quiet	The Quiet		2005	September 12, 2005	2005			2005	2005		tt0414951					tt0414951	https://www.imdb.com/title/tt0414951/?ref_=ls_t_13	tt0414951	https://www.imdb.com/title/tt0414951/?ref_=ls_t_6					DMDb; Sign on Screen; IMDb Deaf Movies; IMDb Deaf Characters							A deaf teenager moves in with her godparents and discovers their dark, dysfunctional secrets.	A deaf teenager moves in with her godparents and discovers their dark, dysfunctional secrets.	Following the unexpected death of her father, a deaf and mute teenager moves in with her godparents, where she discovers the cruel behavior of their daughter may be indicative of a dark secret within the family.	Drama in which a deaf teenager moves in with godparents, then discovers family secrets							Movies with No Deaf Actors | Leading Roles; Movies	adoption/foster care; crime/mystery; deaf child; deaf child hearing parent; deaf victim/witness	Feature	Drama; Thriller; Crime	01 hours 36 minutes		English	American Sign Language (ASL); English	USA	US		Jamie Babbit			https://deafmovie.org/title/the-quiet/					
Quiet is the Night		Quiet is the Night	Wsród nocnej ciszy						1978		1978																			Sign on Screen										Child murder investigative mystery lists deafness as a theme on IMDb								crime/mystery; deaf victim/witness	Feature					German; Polish		Poland		Tadeusz Chmielewski								
A Quiet Love	A Quiet Love	A Quiet Love							2025	July 19, 2025	2025						tt37495241		tt37495241											DMDb; Sign on Screen									Three love stories. One shared language.In this intimate film, three Deaf couples share their remarkable love stories through Irish Sign Language: a decades-long forbidden romance across a religious divide, an LGBTQI+ couple navigating parenthood with Deaf and hearing children, and a Deaf boxer and his hearing partner facing a life-altering choice.	Documentary about the long-term romantic relationships of three deaf couples in Ireland							x Documentaries	Deaf Culture; Deaf Gain; all/most dialogue in sign language; family drama; romance	Documentary		01 hours 35 minutes		Irish Sign Language	English; Irish Sign Language (ISL)	EUR; Ireland	Ireland		Garry Keane			https://deafmovie.org/title/a-quiet-love/					
The Quiet Ones		The Quiet Ones							2015		2015																			Sign on Screen										Horror thriller in British Sign Language (BSL) about the student suspects in the murder of a teacher at a Deaf school								deaf child; deaf villain/suspect; horror; School for the Deaf; school/university setting; thriller	Short					British Sign Language (BSL); English		UK		Teresa Garratty								
A Quiet Place	A Quiet Place	A Quiet Place			A Quiet Place	A Quiet Place			2018	April 6, 2018	2018		2018	2018			tt6644200		tt6644200	tt6644200	https://www.imdb.com/title/tt6644200/?ref_=ls_t_103	tt6644200	https://www.imdb.com/title/tt6644200/?ref_=ls_t_1							DMDb; Sign on Screen; IMDb HoH; IMDb Deaf Movies					A family struggles for survival in a world invaded by blind alien creatures with ultra-sensitive hearing.		A family struggles for survival in a world invaded by blind alien creatures with ultra-sensitive hearing.		In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing. Two parents do what it takes to keep their children safe in a world full of creatures hunting every sound they can hear.	High-profile horror franchise in which a deaf girl (deaf actaor Millicent Simmonds) and her family use American Sign Language (ASL) to hide from monsters who hunt by sound		Millicent Simmonds					Movies with Deaf Actors | Leading Roles	apocalypse; born deaf; character survives dangerous sound thanks to deafness; deaf actor; Deaf Gain; hearing aid; horror; sci-fi/fantasy; sign language used for hiding/secrets; survival narrative	Feature	Drama; Horror; Mystery			American Sign Language; English	American Sign Language (ASL); English	USA	US	10-25% Sign Language Usage	John Krasinski			https://deafmovie.org/title/a-quiet-place/					
A Quiet Place Part II	A Quiet Place Part II	A Quiet Place Part II				A Quiet Place Part II			2021	June 11, 2021	2021			2020			tt8332922		tt8332922			tt8332922	https://www.imdb.com/title/tt8332922/?ref_=ls_t_2							DMDb; Sign on Screen; IMDb Deaf Movies							Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.		Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.	Sound horror sequel, continuation of a signing family's survival which includes their deaf daughter (deaf actaor Millicent Simmonds) using her hearing aids as a weapon against hyper-hearing monsters		Millicent Simmonds					Movies with Deaf Actors | Leading Roles; Movies	apocalypse; born deaf; character survives dangerous sound thanks to deafness; deaf actor; Deaf Gain; hearing aid; horror; sci-fi/fantasy; sign language used for hiding/secrets; survival narrative	Feature	Horror; Thriller			American Sign Language; English	American Sign Language (ASL); English	USA	US	10-25% Sign Language Usage	John Krasinski			https://deafmovie.org/title/a-quiet-place-part-ii/					
Quiet Signs of Love	Quiet Signs of Love	Quiet Signs of Love							2011	July 14, 2011	2011																			DMDb; Sign on Screen									Synopsis 01	Short about a university student couple, one hearing and one deaf							Shorts with No Deaf Actors | Leading Roles; Shorts	deaf-hearing relationship; drama; romance; school/university setting	Short	Drama; Romance; Short	16 minutes			Australian Sign Language (Auslan); English		Australia		John Nikolakopoulos		Free Short	https://deafmovie.org/title/quiet-signs-of-love/					
Rabbit-Proof Fence		Rabbit-Proof Fence							2002		2002																			Sign on Screen										Stolen Generations story of stolen Aboriginal children journeying home includes passages in an Aboriginal sign language (more details needed)								drama; Indigenous character/themes; isolation	Feature					Aboriginal Australian Sign Language (details needed), English, Walmajarri		Australia		Phillip Noyce								
The Raid 2		The Raid 2	Serbuan maut 2: Berandal						2014		2014																			Sign on Screen										Action film includes deaf assassin who wears sunglasses to hide that she's also lost an eye								action; deaf villain/suspect; deafblind character; hearing actor in deaf role	Feature					English; Indonesian; Japanese		Indonesia; US		Gareth Evans								
Rain in My Head					Rain in My Head				2023				2023				tt27525807			tt27525807	https://www.imdb.com/title/tt27525807/?ref_=ls_t_1									IMDb HoH					A deeply intimate and poignant depiction of the lives of Sarah and Marie, two deaf partners. Deaf director and Deaf cast	Deaf director and Deaf cast																														
Rally Caps				Rally Caps					2024			2024														Q125188477	Q125188477	Rally Caps	https://en.wikipedia.org/wiki/Rally_Caps	Wikipedia				American family drama about a young baseball player who befriends another player (played by Colten Pride), who was born deaf and wears a hearing aid and a cochlear implant.																																
Rampage		Rampage				Rampage			2018		2018			2018			tt2231461					tt2231461	https://www.imdb.com/title/tt2231461/?ref_=ls_t_5							Sign on Screen; IMDb Deaf Movies							When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.			Dwayne 'The Rock' Johnson action movie featuring gorilla he saved and uses sign language with								action; signing animal	Feature					American Sign Language (ASL); English		US		Brad Peyton				Binge				
Rangasthalam		Rangasthalam		Rangasthalam					2018		2018	2018														Q29832413	Q29832413	Rangasthalam	https://en.wikipedia.org/wiki/Rangasthalam	Sign on Screen; Wikipedia				In the Indian Telugu-language period action-drama film, the Protagonist (played by hearing actor Ram Charan) is partially deaf and does not want to use a hearing aid.						Hard of Hearing protagonist of this period drama does not want to use hearing aid								drama; hearing actor in deaf role; hearing aid	Feature					Telugu		India		Sukumar								
Rangeland Romances	Rangeland Romances								2004	October 16, 2004																				DMDb									A car breaks down on a deaf couple, Cliff and Connie. They struggle to convince Fred, a detached mechanic, to fix their car amidst their communication barriers. Things only take a turn for											Comedy; Short	5 minutes		American Sign Language		USA						https://deafmovie.org/title/rangeland-romances/					
The Raven		The Raven	Kalagh						1977		1977																			Sign on Screen										A hearing woman who works as a teacher in a School for the Deaf becomes interested in a murder her TV journalist husband is investigating								crime/mystery; deaf child; hearing teacher; School for the Deaf	Feature					Farsi		Iran		Bahram Beyzai								
Raw	Raw								2011	April 9, 2011																				DMDb									A model shows up to a photo shoot. But this mysterious photographer doesn’t click his camera or say a word to her. What is he thinking?			Braam Jordan	Jules Dameron				Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts			Short			American Sign Language		USA		50-100% Sign Language Usage			Free Short	https://deafmovie.org/title/raw/					
Reaching Out: A Story About Mainstreaming	Reaching Out: A Story About Mainstreaming								1970	January 1, 1970																				DMDb									N/A								x Documentaries			Documentary; Short											https://deafmovie.org/title/reaching-out-a-story-about-mainstreaming/					
Reaching Out: A Story About Mainstreaming		Reaching Out: A Story About Mainstreaming							1981		1981																			Sign on Screen										Documentary short about deaf girl with cerebral palsy								accessibility; deaf child; disability	Documentary					English		US		John Cosgrove								
Read My Lips		Read My Lips	Sur mes levres			Read My Lips	Read My Lips		2001		2001			2001	2001		tt0274117					tt0274117	https://www.imdb.com/title/tt0274117/?ref_=ls_t_39	tt0274117	https://www.imdb.com/title/tt0274117/?ref_=ls_t_5					Sign on Screen; IMDb Deaf Movies; IMDb Deaf Characters							She is almost deaf and he lip-reads. He is an ex-convict. She wants to help him. He thinks no one can help except himself.	She is almost deaf and he lip-reads. He is an ex-convict. She wants to help him. He thinks no one can help except himself.		Erotic thriller about a deaf woman uses hearing aids and lipreadin to advance in her career and love life								crime/mystery; deaf-hearing relationship; Deaf Gain; hearing aid; lipreading, inc. magical; thriller	Feature					French; French Sign Language (LSF)		France		Jacques Audiard								
Read My Lips (orig. Sur Mes Lèvres)	Read My Lips (orig. Sur Mes Lèvres)								2001	July 1, 2001																				DMDb									She is almost deaf and she lip-reads. He is an ex-convict. She wants to help him. He thinks no one can help except himself.											Drama; Romance; Thriller; Crime; Short	01 hours 55 minutes		French		France; EUR						https://deafmovie.org/title/read-my-lips/					
Reading Through the Body	Reading Through the Body								2016	May 30, 2016																				DMDb									What happens if a philosophical text is mirrored in the world of sign language? What happens if thoughts and signs are translated into moving pictures? “Reading Through the Body” is a short ethnographic documentary showing how a woman who is deaf tries to comprehend and embody a text by Friedrich Nietzsche in an experimental setting.								x Documentaries; x Documentaries by Non-Deaf Directors			Documentary; Short			Austrian Sign Language		Austria; EUR						https://deafmovie.org/title/reading-through-the-body/					
Realtà?	Realtà?								2010	November 3, 2010																				DMDb									Black Summer				Antonio Bottari				Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts			Short	25 minutes		Italian Sign Language		Italy; EUR						https://deafmovie.org/title/realta/					
Reckless		Reckless							1995		1995																			Sign on Screen										Dark Mia Farrow Christmas comedy in which a woman is saved from a blizzard by a man with a deaf wife								comedy; deaf-hearing relationship	Feature					English		US		Norman René								
Red Line		Red Line							2010		2010																			Sign on Screen										Romance short about a shy young man who falls for a deaf woman								deaf-hearing relationship; romance	Short					English		US		James Caverley; Zilvinas Paludnevicius								
Re-Defining D-E-A-F	Re-Defining D-E-A-F								2010	July 1, 2010																				DMDb									A public proposal on the means to create significant social change.			Lauren Ridloff; Douglas Ridloff	Ryan Commerson				x Documentaries by Deaf Directors; x Documentaries			Documentary	40 minutes		American Sign Language		USA		50-100% Sign Language Usage			Free Documentary	https://deafmovie.org/title/re-defining-d-e-a-f/					
Regardez-moi, je vous regarde		Regardez-moi, je vous regarde	Regardez-moi, je vous regarde						1996		1996																			Sign on Screen										Short film about deaf Japanese artist, Koji Inoue								deaf artist	Short					French Sign Language (LSF)		France		Brigitte Lemaine							tt0205356	–
A Regular Fellow (orig. title: He’s a Prince)	A Regular Fellow (orig. title: He’s a Prince)								1925	October 5, 1925																				DMDb									Prince Alexis is the son of the king of a small European country. His duties, though fairly unimportant, nevertheless keep him so busy that he has no time for anything else. One day he … See full summary			Granville Redomond					Shorts with Deaf Actors | Supporting Roles; Shorts			Comedy			English		USA						https://deafmovie.org/title/a-regular-fellow/					
RelationShit		RelationShit							2017		2017																			Sign on Screen										Romance short about a deaf couple's (Eddie Buck and Megan Clancy) breakup								deaf actor; hearing actor in deaf role; romance	Short					English		US		Kobus Louw								
Remember		Remember	Rimembeo						2022		2022																			Sign on Screen										Revenge thriller about an octogenarian man with Alzheimer's trying to avenge his family's death under Japanese occupation before he loses his memory; includes dialogue in Korean Sign Language (KSL)								crime/mystery; revenge/vigilante 	Feature					Korean Sign Language (KSL)		South Korea		Lee Il-Hyung								
The Replacements		The Replacements							2000		2000																			Sign on Screen										During a strike, a pro football team is replaced by amateur players, including a deaf player								sports	Feature					American Sign Language (ASL); English		US		Howard Deutch				Netflix				
Requiem for a Dream		Requiem for a Dream							2000		2000																			Sign on Screen										Protagonists in this dark drug film encounter a deaf drug dealer								deaf villain/suspect; drama; isolation	Feature					English		US		Darren Aronofsky								
Reservoir Wolves	Reservoir Wolves	Reservoir Wolves							2001	November 1, 2001	2001																			DMDb; Sign on Screen									A parody of Quentin Tarantino’s 1992 masterpiece set to British Sign Language.	A British Sign Language (BSL)-only parody of Reservoir Dogs			Ramon Woolfe					deaf actor; deaf director; deaf writer/producer; all/most dialogue in sign language	Short	Crime; Short	10 minutes		British Sign Language	British Sign Language (BSL)	United Kingdom	UK		Roman Woolfe			https://deafmovie.org/title/reservoir-wolves/					
Resident Evil: Retribution		Resident Evil: Retribution							2012		2012																			Sign on Screen										Action horror film in which one character has a deaf daughter								action; deaf child; deaf child hearing parent; horror	Feature					American Sign Language (ASL); English		Canada; Germany; US		Paul W S Anderson								
Resident Evil: The Final Chapter	Resident Evil: The Final Chapter								2016	December 13, 2016																				DMDb									Picking up immediately after the events in Resident Evil: Retribution, Alice (Milla Jovovich) is the only survivor of what was meant to be humanity’s final stand against the undead. Now, she must return to where the nightmare began – The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.								Movies with Deaf Actors | Supporting Roles; Movies			Action; Horror; Sci-fi; Thriller	01 hours 41 minutes		American Sign Language; English		USA		0–1% Sign Language Usage				https://deafmovie.org/title/resident-evil-the-final-chapter/					
Résilience	Résilience								2024	April 3, 2024																				DMDb									In the countryside, Joseph, a Deaf man, lives alone. A traumatic experience prevents him from leaving the village. One day, a delivery person arrives with a package that is about to change his life.				Julien Bourges				Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors				18 minutes		French Sign Language		France		50-100% Sign Language Usage				https://deafmovie.org/title/resilience/					
The Resilient Larsons		The Resilient Larsons							2022		2022																			Sign on Screen										Drama short about a deaf couple (Dani Duran and Eddie Buck) who are expecting their first child								born deaf; deaf actor; deaf child; family drama; romance	Short					American Sign Language (ASL); English		US		Kalyan Mantri								
(((Resonancia)))	(((Resonancia)))	(((Resonancia)))	(((Resonancia)))						2016	January 1, 2016	2016						tt5848388	tt5848388												DMDb; Sign on Screen									This documentary film it’s about the communication and the lack of communication between the deaf world and the hearing world, and the possibility of communion through a common goal and a transcendent search.	Documentary about the communication divide between the hearing and deaf worlds, and how it can be transcended							x Documentaries	accessibility; Deaf Culture; deaf-hearing relationship; learning sign	Documentary	Documentary				Spanish; Spanish Sign Language (LSE)		Chile		Ximena Quiroz		Free Documentary	https://deafmovie.org/title/resonancia/					
Resurrection		Resurrection							1999		1999																			Sign on Screen										Woman survives accident that kills her husband and develops healing powers; might include 'healing' a character's deafness (details needed)								deafness 'cured'; grief	Feature					English		Canada; US		Stephen Gyllenhaal								
Retour à la vie	Retour à la vie																													DMDb									Black Summer																						https://deafmovie.org/title/retour-a-la-vie/					
Retreat		Retreat							2013		2013																			Sign on Screen										Deaf-led short about a deaf woman in a secret commune who helps a deaf man taken hostage there, includes deaf actors Adam Bassett,. Brian Duffy and Sophie Stone								deaf actor; deaf director	Short					British Sign Language (BSL); English		UK		Ted Evans				URL				
The Return of Count Yorga		The Return of Count Yorga							1971		1971																			Sign on Screen										Horror comedy about a Dracula type named 'Count Yorga' includes deaf housekeeper character								comedy; deaf servant; horror	Feature					English		US		Bob Kelljan								
Return to Me		Return to Me							2000		2000																			Sign on Screen										Man (David Duchovny) falls in love with the woman (Minnie Driver) who received his late wife's heart, includes passages in sign language								drama; grief; romance	Feature					American Sign Language (ASL); English; Italian		US		Bonnie Hunt								
Reverberations	Reverberations	Reverberations							2018	February 24, 2018	2018																			DMDb; Sign on Screen									In 2167, a fascist Government uses advances in gene therapy to eradicate Deafness and create a perfect society. A young Deaf time traveller is sent to the present to find the inventor of the cure and change her mind before it’s too late.	150 years in the future, a fascist government eliminates deafness through gene therapy; a deaf girl (Mia Ward) travels to the present to stop the process being invented		Lisa Kelly; Matt Kyle; Mia Ward; Rose Ayling-Ellis	Samuel Dore				Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors	deaf actor; deaf director; deafness 'cured'; sci-fi/fantasy	Feature	Sci-fi; Short	28 minutes		British Sign Language	British Sign Language (BSL); English	United Kingdom	UK	50-100% Sign Language Usage	Samuel Dore	BSLZone	Free Short	https://deafmovie.org/title/reverberations/					
Reverberations: The Return	Reverberations: The Return								2023	August 3, 2023																				DMDb									A time travelling mission failed and time is running out. Allies gather for the ultimate confrontation.			Lisa Kelly					Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts			Sci-fi	27 minutes		British Sign Language		United Kingdom		50-100% Sign Language Usage		BSLZone	Free Short	https://deafmovie.org/title/reverberations-the-return/					
Rick		Rick							2018		2018																			Sign on Screen										Documentary short about deaf pornography actor								deaf actor; sex work	Documentary					English; German; German Sign Language (DGS)		Germany		Jan-Peter Horstmann								
The Rider		The Rider							2017		2017																			Sign on Screen										Chloé Zhao drama about a cowboy suffering a major head injury, includes passages in sign language								deafened by accident/violence; drama; western	Feature					American Sign Language (ASL); English; Sioux; Spanish		US		Chloé Zhao								
Ridicule		Ridicule							1996		1996																			Sign on Screen										C18th French period drama includes deaf child being sent to Abbé de l'Epée								deaf child; deaf child hearing parent; drama; School for the Deaf; school/university setting	Feature					French; French Sign Language (LSF)		France		Patrice Leconte								
The Ridin' Rowdy		The Ridin' Rowdy						The Ridin' Rowdy	1927		1927					1927														Sign on Screen; Hollywood Speaks										1920s western includes hearing character who pretends to be deaf	This is another film in which a hearing character feigns deafness.					Unknown		hearing character pretending to be deaf; western	Feature			Not specified in Filmography				US		Richard Thorpe					Pathe Exchange	113		
Rise of the Planet of the Apes		Rise of the Planet of the Apes							2011		2011																			Sign on Screen										Prequel to the classic sci-fi series about hyperintelligent apes; Caesar is a young hyperintelligent chimp who begins to exhibit IQ by signing, but shows he's reach the level of human intelligence when he begins to speak								learning sign; learning speech; sci-fi/fantasy; signing animal	Feature					American Sign Language (ASL); English		Canada; UK; US		Rupert Wyatt								
Rita Simons: My Daughter, Deafness and Me		Rita Simons: My Daughter, Deafness and Me							2012		2012																			Sign on Screen										Documentary about a family's social and educational choices for their two children, one of whom is losing her hearing								adapting to deafness; deaf child; deaf child hearing parent; progressive hearing loss; sibling relationship	Documentary					English		UK		Sophie Leonard								
The River Wild		The River Wild							1994		1994																			Sign on Screen										Entire signing family includes rafting expert daughter (Meryl Streep) and Deaf father								Coda; deaf-hearing relationship; family drama	Feature					American Sign Language (ASL); English		US		Curtis Hanson								
Rock the Paint		Rock the Paint							2005		2005																			Sign on Screen										Coming-of-age high school film lists American Sign Language (ASL) on IMDb								school/university setting	Feature					American Sign Language (ASL); English		US		Phil Bertelsen								
Rose & Raven	Rose & Raven								2019	August 4, 2019																				DMDb									Rose and Raven is about a young girl who befriends her deaf classmate who teaches her to be confident in herself as she pursues her dreams. Through their experiences with each other, they learn how to communicate, not only through their speech barrier but on an honest and personal level. Rose and Raven seeks to bring awareness to those who grew up or gradually became deaf. We believe that stories like this haven’t been told enough and want to bring to light a story that over 5% of the world’s population shares.			Jared DeBusk					Shorts with Deaf Actors | Leading Roles; Shorts			Drama; Short			American Sign Language		USA		50-100% Sign Language Usage				https://deafmovie.org/title/rose-raven/					
The Rosebush		The Rosebush							2008		2008																			Sign on Screen										American Sign Language (ASL) performance of Ella Mae Lentz's ASL poem, 'The Rosebush'								sign language poetry/song	Short					American Sign Language (ASL)		US		Karen Christie								
Rumble		Rumble							2015		2015																			Sign on Screen										A deaf boxer must choose between his passion for his sport and a cochlear implant operation								cochlear implant; deaf sporting excellence; drama; sports	Short					British Sign Language (BSL); English		UK		Matthew Hopper								
Rumble Fish		Rumble Fish							1983		1983																			Sign on Screen										Family drama about a man whose charismatic older brother, 'Motorcycle Boy' (Mickey Rourke) returns after a 20-year absence part-deafened and colourblind								deafened by accident/violence; family drama; sibling relationship	Feature					English		US		Francis Ford Coppola								
Run		Run							2025		2025																			Sign on Screen										Drama about a rural mechanic deafened in an accident who comes to terms with his new life, includes deaf actors like Marlee Matlin and secondary roles played by 25 deaf actors								adapting to deafness; deaf actor; deafened by accident/violence; drama	Feature					American Sign Language (ASL); English		US		Craig Otto								
Running Without Sound	Running Without Sound	Running Without Sound							2004	June 10, 2004	2004																			DMDb; Sign on Screen									Sean is deaf, a high school student and a cross country runner. He’s also a closeted gay teenager who’s just coming to terms with his sexuality and his attraction to a fellow team-mate.	Short about deaf gay high school student who picks up cross country running							Shorts with No Deaf Actors | Leading Roles; Shorts	deaf child; queer; school/university setting; sports	Short	Romance; Short	12 minutes		English	American Sign Language (ASL); English	USA	US		Judd King		Free Short	https://deafmovie.org/title/running-without-sound/					
Sabotage	Sabotage								2000	June 1, 2000																				DMDb									N/A			Emilio Insolera; Michelle McAuliffe; Rene Visco	Daniele LeRose	Emilio Insolera			Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts by Deaf Writers; Shorts			Sci-fi; Short			American Sign Language		USA; Italy		50-100% Sign Language Usage				https://deafmovie.org/title/sabotage/					
Sad Movie	Sad Movie	Sad Movie	Saedu mubi						2005	October 21, 2005	2005																			DMDb; Sign on Screen									When Lee Jin-woo rescued Su-eun from a fire they both defied the odds in surviving. He fell in love with her older sister, Soo-jeong Lim, who now desires the brave fireman to propose marriage thinking that this will make him less fearless in facing the flames and lessen her greatest fear. He wishes to do so, but his romantic streak causes him to seek the proper moment. Su-eun works as a “character” in an amusement park. Her face was scared in the fire, and in addition she is a deaf mute. Feeling free to be more forward when in costume behind a large “Raggedy-Ann” head, she approaches a handsome artist who frequents the park to paint. He starts to come infatuated with her, despite never having seen her face or heard her voice. She starts to fall in love with him. Choi Suk-hyun informs her boyfriend, Jung Ha-seok, that she wishes to break up for he is still unemployed after 3 years and she cannot face a future of poverty. He vows to get a job to reverse her feelings, and when a stranger enlists him to tell her boyfriend a final “goodbye” on the phone, he decides that he can turn doing this into an online business and starts a “separation agency.” Busy with her career, Eom Jung-hwa neglects her young son Park Hwi-chan, and he becomes a problem at school. When she is hospitalized he becomes happier since he can visit her anytime and she has time to spend with him. Separation looms as a possible outcome for all of these inter-twined souls who who live and love in Seoul, Korea.	Rom com about several couples includes a deaf girl who works as a mascot in a theme park and falls in love with a hearing artist							Movies with No Deaf Actors | Leading Roles; Movies	deaf-hearing relationship; romance; romantic comedy	Feature	Comedy; Drama; Romance			Korean Sign Language; Korean	Korean; Korean Sign Language (KSL)	South Korea	South Korea	x Misuse Sign Language	Jong-kwan Kwon			https://deafmovie.org/title/sad-movie/					
Salt & Pepper	Salt & Pepper								2024	October 31, 2024																				DMDb									After four long years, three pairs of friends reunite, each hoping that time has stood still. But the pandemic and its aftermath have profoundly changed their lives, bringing hidden truths to the surface. In this fragile reunion, they must confront deep questions: Who am I, and who do the others think I am?			Pål Henning Winge; Pia Ingelin Veronika Schrøder; Bülent Yalcin; Lars Otterstedt; Iwona Cichosz-Yggeseth; Camilla Rae Høiberg	Con Mehlum				Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies				01 hours 15 minutes		Norwegian Sign Language		Norway; EUR		50-100% Sign Language Usage				https://deafmovie.org/title/salt-pepper/					
Samba in Mettmann		Samba in Mettmann							2004		2004																			Sign on Screen										Comedy about a man who works in the family laundrette and has a deaf, weed-smoking grandfather side character								ageing deaf character as comic relief; Coda; comedy	Feature					German		Germany		Angelo Colagrossi								
The Sandlot 2	The Sandlot 2					The Sandlot 2			2005	May 3, 2005				2005			tt0418131					tt0418131	https://www.imdb.com/title/tt0418131/?ref_=ls_t_50							DMDb; IMDb Deaf Movies							A film about a group of young baseball-enthusiasts who test the terrifying myth of Mr. Mertle owning a freakishly large and dangerous dog in his backyard.		A film about a group of young baseball-enthusiasts who test the terrifying myth of Mr. Mertle owning a freakishly large and dangerous dog in his backyard.			Sean Berdy					Movies with Deaf Actors | Leading Roles			Comedy; Family; Sport											https://deafmovie.org/title/the-sandlot-2/					
Santa Sangre		Santa Sangre							1989		1989																			Sign on Screen										Italian-Mexican giallo horror about a former circus performer traumatised since witnessing his father's suicide and attempted murder of his amputee mother; he escapes a mental hospital to 'become her arms'. One of the film's main characters is a deaf woman (shown as a child and adult)								deaf child; horror; disability; religion; revenge/vigilante	Feature					English		Italy; Mexico		Alejandro Jodorowsky								
Sappy Days	Sappy Days								1927	May 15, 1927																				DMDb									N/A			Tommy Albert (Emerson Romero)					Shorts with Deaf Actors | Leading Roles; Shorts			Comedy; Short					USA		x Mime				https://deafmovie.org/title/sappy-days/					
Sarah and Son		Sarah and Son						Sarah and Son	1930		1930					1930														Sign on Screen; Hollywood Speaks										Melodrama in which abusive husband sells opera singer's son; when trying to find him, she is presented with a servant's deaf son as a decoy	Ruth Chatterton and Fredric March star... the new parents attempt to trick her by substituting a deaf child, but they do not succeed.					Unknown		deaf child; deaf child hearing parent; drama; family drama	Feature			Not specified in Filmography		English		US		Dorothy Arzner					Paramount/Famous Players Lasky	113-114		
