English Title	Original Title	Director/Creator	Year	Format	Languages	Countries	Platforms	Summary	Tags	IMDb Tag Number
Rock the Paint		Phil Bertelsen	2005	Feature	American Sign Language (ASL); English	US		Coming-of-age high school film lists American Sign Language (ASL) on IMDb	school/university setting	
The Rosebush		Karen Christie	2008	Short	American Sign Language (ASL)	US		American Sign Language (ASL) performance of Ella Mae Lentz's ASL poem, 'The Rosebush'	sign language poetry/song	
Rumble Fish		Francis Ford Coppola	1983	Feature	English	US		Family drama about a man whose charismatic older brother, 'Motorcycle Boy' (Mickey Rourke) returns after a 20-year absence part-deafened and colourblind	deafened by accident/violence; family drama; sibling relationship	
Running Without Sound		Judd King	2004	Short	American Sign Language (ASL); English	US		Short about deaf gay high school student who picks up cross country running	deaf child; queer; school/university setting; sports	
Sad Movie	Saedu mubi	Jong-kwan Kwon	2005	Feature	Korean; Korean Sign Language (KSL)	South Korea		Rom com about several couples includes a deaf girl who works as a mascot in a theme park and falls in love with a hearing artist	deaf-hearing relationship; romance; romantic comedy	
Samba in Mettmann		Angelo Colagrossi	2004	Feature	German	Germany		Comedy about a man who works in the family laundrette and has a deaf, weed-smoking grandfather side character	ageing deaf character as comic relief; Coda; comedy	
Santa Sangre		Alejandro Jodorowsky	1989	Feature	English	Italy; Mexico		Italian-Mexican giallo horror about a former circus performer traumatised since witnessing his father's suicide and attempted murder of his amputee mother; he escapes a mental hospital to 'become her arms'. One of the film's main characters is a deaf woman (shown as a child and adult)	deaf child; horror; disability; religion; revenge/vigilante	
Sarah and Son		Dorothy Arzner	1930	Feature	English	US		Melodrama in which abusive husband sells opera singer's son; when trying to find him, she is presented with a servant's deaf son as a decoy	deaf child; deaf child hearing parent; drama; family drama	
Sargam		K. Viswanath	1979	Feature	Hindi	India		A deaf girl who dreams of being a classical dancer is trained by a musician	deaf musician/dancer; deaf-hearing relationship; music	
Savage Streets		Danny Steinmann and Tom DeSimone	1984	Feature	English	US		Hearing girl seeks vengeance on the criminals who raped her deaf sister and murdered her best friend	deaf victim/witness; friendship; grief; hearing stalker/killer; revenge/vigilante; sibling relationship	
Sanford and Son		Russ Petranto	1977	Series	English	US		In season 6 episode 16 ("A Matter of Silence") of this sitcom, a man thinks his father is going deaf and the father plays along for sympathy (series duration 1972-7)	family drama	
Saving Grace		Robert M. Young	1986	Feature	English	US		Catholic comedy in which the main character communicates with a deaf child in sign language	comedy; deaf child; religion	
Screen Directors Playhouse		Ida Lupino	1956	Series	English	US		In season 1 episode 16 ("No. 5 Checked Out") of this series, a young deaf woman runs a hotel and confronts criminals (series duration 1955-6)	crime/mystery; deaf victim/witness	
Screen Two		Tristram Powell	1992	Series	English	UK		Season 8 episode 3 ("The Count of Solar") of this series is about the true story about a young deaf boy in the days before the French Revolution (series duration 1985-98)	deaf child; deaf victim/witness	
Screwballs		Rafal Zielinski	1983	Feature	American Sign Language (ASL); English	Canada		Screwball high school comedy set in the 1960s, includes passages in sign language	comedy; school/university setting	
Scrubs		Victor Nelli Jr.	2007	Series	English	Canada		In season 6 episode 16 ("My Words of Wisdom") of this medical comedy series, protagonist J.D. has two deaf patients (series duration 2001-10)	comedy; medical drama	
Sealed with a Kiss	Tim yin mat yue	Derek Chiu	1999	Feature	Cantonese; Hong Kong Sign Language (HKSL)	Hong Kong		Hong Kong woman moves to countryside and falls in love with nonverbal hearing signing man	nonverbal; romance	
Search for Tomorrow		Agnes Nixon; Roy Windsor	1973	Series	English	US		Long-running soap opera in which deaf actor Linda Bove plays recurring role of Melissa in 1973 season (series duration 1951-86)	drama	
The Secret Life: Jeffrey Dahmer		David R. Bowen	1993	Feature	American Sign Language (ASL); English	US		Crime drama based on Jeffrey Dahmer's crimes, including a Tony Hughes character	crime/mystery; deaf victim/witness; drama; horror	
Secret Life of Words	La vida secreta de las palabras	Isabel Coixet	2005	Feature	English; Danish	Ireland; Spain		Drama in which deaf factory worker forgoes holiday to take care of temporarily blinded burn victim	deaf and blind character pairing; disability; drama	
See No Evil, Hear No Evil		Arthur Hiller	1989	Feature	English	US		1 deaf 1 blind'-trope comedy about deaf man and blind man who each witness a murder	comedy; deaf and blind character pairing; disability	
See Spot Run		John Whitesell	2001	Children's feature	American Sign Language (ASL); English	Australia; Canada; US		Children's dog story includes two deaf side characters and scenes in American Sign Language (ASL)	deaf child; friendship	
See This News		David C. Jones	2008	Short	American Sign Language (ASL); English	Canada		Short film in which a news anchor sends reporters to explore deaf inclusion and the need for sign language interpreters	accessibility; Deaf Culture; disability	
See What I Say		Linda Chapman; Pam LeBlanc; Freddi Stevens	1981	Documentary	American Sign Language (ASL); English	US		Oscar-nominated documentary short interviewing several deaf women	Deaf Culture; all/most dialogue in sign language	
See What I'm Saying: The Deaf Entertainers Documentary		Hilari Scarl	2009	Documentary	American Sign Language (ASL); English	US		Documentary about deaf performers in mainstream entertainment	accessibility; deaf actor; deaf artist; deaf director	
Seinfeld		Tom Cherones	1993	Series	English	US		In season 5 episode 6 ("The Lip Reader") of this irreverent sitcom, Jerry starts dating a Hard of Hearing woman who can lipread, George gets her to spy for him (series duration 1989-98)	comedy; deaf-hearing relationship; Deaf Gain; lipreading, inc. magical	
September Eleven	11'09"01	Claude Lelouch	2002	Short	Arabic; English; Farsi; French; Hebrew; Japanese; French Sign Language (LSF); Spanish	Egypt; France; Iran; Japan; Mexico; UK; US		Portmanteau of 11 directors' shorts about 9/11; Lelouch's focuses on Emmanuelle Laborit in French Sign Language (LSF) story in which she is one of the last people in NYC to find out about the attacks	deaf actor; drama; isolation	
Sesame Street		Joan Ganz Cooney; Lloyd Morrssett Jr. 	1969-present	Children's series	American Sign Language (ASL); English; Spanish	US		Long-running PBS children's variety show featured deaf actor Linda Bove as librarian Linda from 1971-2002	deaf actor	
Sesame Street: Friends to the Rescue		Victor DiNapoli; Jim Martin; Lisa Simon; Emily Squires	2005	Children's feature	American Sign Language (ASL); English	US		Sesame street TV movie includes deaf actor Linda Bove in her recurring role	deaf actor	
Sesame Street: Put Down the Duckie		Jon Stone	1988	Children's feature	American Sign Language (ASL); English	US		Sesame street TV movie musical special includes deaf actor Linda Bove in her recurring role	deaf actor	
Sesame Street Stays Up Late!		Chuck Vinson	1993	Children's feature	American Sign Language (ASL); English	US		Sesame street TV movie about New Years Eve celebrations includes Linda Bove	deaf actor	
Shablul Bamidbar		Oded Adomi Leshem	2008	Documentary	Al-Sayyid Bedouin Sign Language (ABSL); Arabic; Hebrew	Israel		Documentary about Bedouin community with significant deaf population	Deaf Culture	
Shakespeare Wallah		James Ivory	1965	Feature	English; Hindi	India; UK		Drama about troupe of actors travelling around India includes deaf servant who attends to - and spies on - one of the actors	deaf servant; deaf victim/witness; drama	
Shield for Murder		Howard W. Koch; Edmond O'Brien	1954	Feature	English	US		Crime thriller; thief-murderer is witnessed by a deaf man, who becomes his new target	crime/mystery; deaf victim/witness; hearing stalker/killer	
The Shop on Main Street	Obchod na korze	Jan Kadar; Elmar Klos	1965	Feature	German; Latin; Slovak; Yiddish	Czechoslovakia		Sentimental drama includes Hard of Hearing shopkeeper side character	deaf servant; drama	
Shuttle		Edward Anderson	2008	Feature	English	US		Crime drama in which a shuttle drive home from the airport goes terribly wrong, includes deaf girl character	crime/mystery; deaf child; deaf victim/witness; drama	
Signage		Rick Hammerly	2007	Short	American Sign Language (ASL); English	US		Short in which main character meets deaf man and confronts his ageing	friendship; deaf character inspires hearing character’s self-actualisation	
Signing Time		Emilie de Azevedo Brown and Rachel Coleman	2002-7	Children's series	American Sign Language (ASL); English	US		Playschool-style children's variety series teaching basic American Sign Language (ASL)	Deaf Culture; learning sign	
Signing with Cindy		Cindy Cochran	1982	Children's series	American Sign Language (ASL); English	US		Educational series in which host Cindy interprets pop song lyrics in American Sign Language (ASL) for children	sign language poetry/song; learning sign	
Signs of Us		Janet Elaine	2000	Short	American Sign Language (ASL); English	US		Drama in which deaf and hearing sisters reconnect after the death of their mother	deaf-hearing relationship; family drama; grief; sibling relationship	
Silence		John Korty	1974	Children's feature	American Sign Language (ASL); English	US		Hearing couple take on a young orphaned deaf person who gets lost in the woods, man teaches him survivalism while woman already knows sign	adoption/foster care; deaf child; isolation; survival narrative	
The Silence Between Us		Katie O'Neill	2007	Short	Australian Sign Language (Auslan); English	Australia		Bonded deaf mother and daughter struggle to adapt when daughter gets cochlear implant	adapting to deafness; deaf child; cochlear implant; family drama	
Silent Fall		Bruce Beresford	1994	Feature	American Sign Language (ASL); English	US		A nonverbal autistic boy who communicates in sign witnesses his parents' double murder	crime/mystery; disability; family drama; grief; nonverbal	
Silent Love	Ting bat do dik suet wa	David Chiang	1986	Feature	Cantonese	Hong Kong		Drama about deaf pickpocketing leader and hearing man recently released from prison	crime/mystery; deaf villain/suspect; drama	
The Silent One		Yvonne Mackay	1984	Feature	English	New Zealand		A deaf boy is found floating at sea and is taken in by villagers, but his friendship with a turtle will cause the superstitious community to view the friends as bad omens	adoption/foster care; deaf child; deaf child hearing parent; deaf mystic; deaf villain/suspect; friendship; Indigenous character/themes; wild child	
Silent Rhapsody	Hiljaisuuden lähteillä	Georg Grotenfelt	2000	Documentary	Finnish; Finnish Sign Language (FSL)	Finland		Documentary about young deaf boy and religious hearing woman	deaf child; 'hearing saviour'; hearing teacher; religion	
Silent River	Wu Shen de he	Ning Jingwu	2001	Feature	Chinese Sign Language (CSL); Mandarin	China		Hearing man bonds with students as he becomes a tutor for deaf children	deaf child; 'hearing saviour'; hearing teacher	
Silent Victory: The Kitty O'Neil Story	 	Lou Antonio	1979	Feature	English	US		TV movie biopic about a deaf woman who becomes one of the top stuntwomen in Hollywood	biopic; deaf artist; drama	
The Silent Voice		William Bowman	1915	Feature	English	US		Early deafened musician film in which a musician cuts himself off from society after losing his hearing, before starting to do good deeds and eventually being cured by a miracle operation	deaf musician/dancer; deafness 'cured'; hearing actor in deaf role; isolation; music; temporarily deafened	
The Silent World	Hiljainen maailma	Eino Ritari	1951	Documentary	Finnish; Finnish Sign Language (FSL)	Finland		Finnish documentary short about deafness and hearing aids	Deaf Culture; hearing aid	
Simone		Jenine Mayring	2009	Short	American Sign Language (ASL); English	US		Horror thriller short includes deaf character and American Sign Language (ASL) dialogue	horror; thriller	
Sincerely Yours		Irving Wallace	1955	Feature	English	US		Liberace's first feature, based on the 1920s and 30s Man Who Played God films, about a musician who loses his hearing and comes to terms with the potential of it being permanent	adapting to deafness; deaf musician/dancer; drama; music; progressive hearing loss	
	Sininen imettäjä	Markku Lehmuskallio	1985	Feature	Finnish	Finland		A deaf painter living in isolated Lapland turns to nature and begins communicating nonverbally with a spirit	deaf artist; deaf mystic; isolation	
Sins of Man		Otto Brower; Gregory Ratoff	1936	Feature	English	US		The deaf child of a music-loving bell-ringer magically gains his hearing during a WWI bombing	deaf child; deaf child hearing parent; deafness 'cured'; hearing actor in deaf role; music	
Sirens		Minor Mustain	1995	Series	American Sign Language (ASL); English	US		In season 2 episode 22 ("The Sound of One Hand Clapping") of this crime series, Officer Stanton befriends a deaf man who witnessed a murder (series duration 1993-5)	crime/mystery; deaf victim/witness; friendship	
Sister Act		Emile Ardolino	1992	Feature	English	US		Whoopi Goldberg convent disguise drama includes older nun pianist with large hearing aid whose deafness provides comic relief ('Alma, check your battery')	ageing deaf character as comic relief; deaf musician/dancer; comedy; hearing aid	
The Ski Trip		Maurice Jamal	2004	Feature	English	US		Friend road trip including deaf girl side character	friendship	
Sleepwalkers		David S. Goyer; Stephen Kronish	1997-8	Series	American Sign Language (ASL); English	US		Sci-fi miniseries about dream researchers includes passages in sign language	sci-fi/fantasy	
Smilla's Sense of Snow		Bille August	1997	Feature	English; Inuktitut	Denmark; Germany; Sweden		Greenland-based story in which Inuk woman investigating young boy's death discovers he was deafened by ear infections	crime/mystery; deafened by illness; deaf child; Indigenous character/themes	
The Smurfs		Peyo	1983	Children's series	American Sign Language (ASL); English	US		In season 3 episode 48 ("Smurfing in Sign Language") of this 1980s original children's Smurf series, the Smurfs sign in American Sign Language (ASL)		
Snobs		Noel Price; Nick Wilson	2003-4	Series	English	Australia		Children's drama series includes girl who wants family to get cochlear implant for her deaf brother	cochlear implant; deaf child; deaf child hearing parent; drama; family drama; sibling relationship	
Snowball		Samuel Dore	2003	Short	British Sign Language (BSL); English	UK		Short in which a deaf man attempts to confess to a crime	deaf villain/suspect	
The Sobbing Stone		Robert G. Christie	2005	Feature	English	US		Thriller about a paranormal stone found to create sounds, includes deaf woman side character	sci-fi/fantasy	
Soft Shell Man	Un crabe dans la tete	Andre Turpin	2001	Feature	French	Canada		Underwater photographer leaves his wife and starts an affair with his best friend's deaf girlfriend	deaf-hearing relationship; drama	
Soldier Blue		Ralph Nelson	1970	Feature	English; Plains Indian Sign Language (PISL or Hand Talk)	US		Western in which soldiers journey to nearest fort after Cheyenne ambush, includes passages in sign language	Indigenous  character/themes; western	
Solstice		J. Brandon Johnson	2008	Short	English	US		Pregnant exotic dancer runs into deaf woman and rethinks her "decision"	deaf-hearing relationship; deaf character inspires hearing character’s self-actualisation; deaf musician/dancer; sex work	
Some Like it Hot		Billy Wilder	1956	Feature	English	US		Crime comedy includes Hard of Hearing mobster character who wears hearing aid and turns it down when he knows loud gunshots are about to ring out	ageing deaf character as comic relief; comedy; Deaf Gain; hearing aid	
Somebody is Waiting		Martin Donovan	1999	Feature	English	US		Single parent family drama includes young deaf man	deaf child hearing parent; drama; family drama; hearing actor in deaf role	
Soul of the Slums		Frank R Strayer	1931	Feature	American Sign Language (ASL); English	US		1930s crime film lists American Sign Language (ASL) on IMDb (more details needed)	crime/mystery; drama	
Sound and Fury		Josh Aronson	2000	Documentary	American Sign Language (ASL); English	US		Two American families' deliberations on whether to get cochlear implants for their children	cochlear implant; deaf child; deaf child hearing parent	
Sound And Fury 6 Years Later		Josh Aronson	2006	Documentary	American Sign Language (ASL); English	US		Follow-up to the 2000 documentary about whether to get cochlear implants for children; revisits character Heather after her implant	cochlear implant; deaf child; deaf child hearing parent	
The Sound of Love		John Power	1978	Feature	Australian Sign Language (Auslan); English	Australia		Romance between driver deafened in accident and deaf 'street girl'	deafened by accident/violence; romance; sex work	
Sound Waves		Sasha Andrews and Jeanne Guiraud	2008	Short	British Sign Language (BSL); English	UK		Short about two families with deaf children, one planning to get their child a cochlear implant and the other not	cochlear implant; deaf child; deaf child hearing parent; family drama	
Soundings		Joel Coen	1980	Short	English	US		Woman vocalises her desire for her boyfriend's best friend in the next room, while having sex with her deaf boyfriend	deaf-hearing relationship	
Soundproof	 	Edmund Coulthard	2006	Feature	British Sign Language (BSL); English	UK		Mystery thriller in which man is thrown from the balcony of his block of flats and deaf roommate is suspect	 crime/mystery; deaf victim/witness; deaf villain/suspect	
	Sourds à l'image : la langue des signes n'est plus interdite	Brigitte Lemaine	1995	Documentary	French; French Sign Language (LSF)	France; Germany		Documentary about the evolution of French Sign Language (LSF) access in France, especially the oralist period of sign repression in education from 1880 to 1991	accessibility; learning sign; school/university setting	
Souvenirs		Damian Weston	2007	Short	English	Canada		Young man grappling with progressive hearing loss	adapting to deafness; progressive hearing loss	
Speak, Silent One	Habla Mudita	Manual Gutier-Rez Aragon	1973	Feature	Spanish	Spain; West Germany		An ageing man who specialises in language acquisition travels to rural village and tries to teach a deaf girl to speak (also includes deaf brother character who is sexualised by hearing women in the village)	deaf child; hearing actor in deaf role; hearing teacher; 'hearing saviour'; learning speech; wild child	
Speakeasy		Brendan Murphy	2002	Feature	English	US		Two men become friends, bonding over the fact that they're both in relationships with or are related to a deaf person	Coda; deaf-hearing relationship; friendship	
Speed 2: Cruise Control		Jan de Bont	1997	Feature	English	US		Action movie sequel includes scene where deaf girl is trapped in elevator during fire, can't hear instructions from those trying to save her	action; deaf victim/witness; survival narrative	
Spin City		Lee Shellat Chemel	1997	Series	American Sign Language (ASL); English	US		Season 1 episode 20 ("Deaf Becomes Her") of this political sitcom includes Marlee Matlin as a guest character, and a plot about a series of 'misunderstandings' that offend the Deaf Community	comedy; deaf actor; Deaf Culture	
The Spiral Staircase		Robert Siodmak	1946	Feature	English	US		Film noir in which hearing, speaking serial killer targets nonverbal hearing woman because "there's no place for imperfection in this world"	crime/mystery; hearing stalker/killer; nonverbal; survival narrative	
	Sprechende Hande	Gertrud David	1925	Documentary	German Sign Language (DGS)	Germany		Documentary about deaf life in Germany	Deaf Culture; all/most dialogue in sign language	
The Stand		Mick Garris	1994	Series	English	US		Stephen King post-apocalyptic plague mini-series includes hearing actor (Rob Lowe) in deaf role (Nick Andros) and was protested by Deaf community for this casting	apocalypse; hearing actor in deaf role; survival narrative	
The Star Maker	L'uomo delle stelle	Giuseppe Tornatore	1995	Feature	Italian; Sicilian; Spanish	Italy		Drama about photographer in Sicilian town includes deaf children actors performing in Gone with the Wind production	deaf artist; deaf child	
Star Trek: The Next Generation		Larry Shaw	1989	Series	English; French; Klingon	US		In season 2 episode 5 ("Loud As a Whisper") of this sci-fi series, the team chauffeurs a deaf mediator who may be able to prevent a war breaking out (series duration 1987-94)	sci-fi/fantasy	
Starsky and Hutch		George McCowan	1976	Series	English; Greek	US		S1E17 ("Silence") of this detective drama includes two deaf suspects: one living in a halfway house with a man posing as a priest, and another arresting for stealing sweets	crime/mystery; deaf victim/witness; deaf villain/suspect	
Staten Island	aka Little New York	James DeMonaco	2009	Feature	American Sign Language (ASL); English; French; Italian	US		Ethan Hawke/ Vincent D'Onofrio crime drama about Staten Island men trying to get ahead, one of them deaf	drama; hearing actor in deaf role	
The Sterling Chase		Tanya Fenmore	1999	Feature	English	US		Three college students competing for an award, one exploits deaf roommate	deaf victim/witness	
Stille Liebe	Amour Secret	Christoph Schaub	2001	Feature	English; German; German Sign Language (DGS); Lithuanian; Swiss German	Switzerland		Drama in which a deaf nun begins to doubt her vows, falls in love with deaf unhoused man on a train	drama; religion; romance	
The Story of Alexander Graham Bell	 	Irving Cummings	1939	Feature	English 	US		Slightly-fictionalised biopic of oralist and eugenicist Alexander Graham Bell, whose wife and mother were deaf	Alexander Graham Bell; biopic; Coda; deaf-hearing relationship; drama; family drama; oralism (repression of sign)	
The Story of Esther Costello		David Miller	1957	Feature	English	UK		Joan Crawford drama in which divorced woman bonds with deafblind girl and becomes a philanthropist for deaf children	adoption/foster care; deaf child; deaf child hearing parent; deafblind character; drama	
Story of Women	Une affaire de femmes	Claude Chabrol	1988	Feature	French; German	France		Abortion drama includes conversation with deaf child witness	deaf child; deaf victim/witness; drama	
The Storyteller		Eliana Alvarez Martinez	2009	Short	English	Spain; US		After a deaf boy's mother dies he moves in with his grandparents, who are determined to communicate with him	adoption/foster care; deaf child; deaf child hearing parent; grief; learning sign	
	Straziami ma di baci saziami	Dino Risi	1968	Feature	Italian	France; Italy		Man tries to win back his ex but discovers she's now married to a deaf man	comedy; deaf-hearing relationship; romance	
Straight for the Heart	À corps perdu	Léa Pool	1988	Feature	French	Canada; Switzerland		A bisexual photographer returns from a war and finds his polyamorous partners have left him for each other; he falls into a depression which lifts only when he meets a deaf man at a club	deaf artist; deaf-hearing relationship; grief; isolation; romance	
Stranger than Fiction		Charles E. Ford	1938	Short	English	US		Short of multiple episodes including a section on a deaf church	Deaf Culture	
Student Bodies		Michael Ritchie; Mickey Rose	1981	Feature	American Sign Language (ASL); English	US		High school slasher horror comedy includes scene where serial killer signs	comedy; hearing stalker/killer; horror; school/university setting	
Sudden Death		Peter Hyams	1995	Feature	English	US		Jean-Claude Van Damme action movie; signs 'I love you' in American Sign Language (ASL)	action	
Sue Thomas: F.B. Eye		Dave Alan Johnson and Gary R. Johnson	2002-5	Series	American Sign Language (ASL); English	US		Crime series stars deaf actor Deanne Bray as FBI employee	crime/mystery; deaf actor	
Sunny's Ears		Jane Prowse	1997	Children's series	British Sign Language (BSL); English	UK		Children's series about a recently-deafened speaking girl with a deaf friend, whose family is learning British Sign Language (BSL)	adapting to deafness; deaf child; deaf child hearing parent; family drama; friendship; learning sign	
Supernanny			2008	Reality Series	English	US		In season 5 episode 2 ("Baulisch Family") of this reality parenting series, Supernanny helps a deaf couple with four hearing daughters (series duration 2005-20)	Coda; family drama; reality tv	
Supervixens		Russ Meyer	1975	Feature	American Sign Language (ASL); English; German; Swedish	US		1970s porno which lists American Sign Language (ASL) on IMDb (more details needed)	sex work	
Suspect		Peter Yates	1987	Feature	English 	US		Hearing lawyer defends a deaf unhoused man (hearing actor Liam Neeson in deaf role) on trial for murder	crime/mystery; deaf villain/suspect; hearing actor in deaf role; hearing lawyer of deaf defendant	
Sweet Nothing in My Ear		Joseph Sargent	2008	Feature	American Sign Language (ASL); English	US		Jeff Daniels and Marlee Matlin are hearing and deaf parents respectively, fighting over whether to get their son a cochlear implant as he loses his hearing	cochlear implant; deaf actor; deaf child; deaf child hearing parent; progessive hearing loss	
Symphony of Silence		William Eaton	2005	Documentary	American Sign Language (ASL); English	Canada		14-year-old girl Mari's story of performing an American Sign Language (ASL) poem with the Okanagan Symphony Orchestra	deaf child; sign language poetry/song	
Sympathy for Mr Vengeance		Park Chan-wook	2002	Feature	Korean; Korean Sign Language (KSL)	South Korea		Drama in which deaf factory worker saves up for a kidney transplant for his sister and eventually turns to violent means to obtain the money	crime/mystery; deaf-hearing relationship; deaf villain/suspect; family drama; sibling relationship	
Talking Hands	Puhuvat kädet	Eino Ruutsalo	1959	Documentary	Finnish; Finnish Sign Language (FSL)	Finland		Documentary short about Finnish Sign Language (FSL)	Deaf Culture	
Taxi, Trailer and Bullfight	Taxi, roulotte et corrida	André Hunebelle	1958	Feature	French	France		Slapstick comedy includes scene in which chatty taxi driver (Louis de Funès) recounts his life story to a passenger before realising he's deaf; tells him off for not cutting him off sooner	comedy	
Telephone Time		Owen Crump	1957	Series	English	US		Season 2 episode 18 ("Parents of a Stranger") of this drama series is based on a true story about a deaf girl who has no communication with her parents (series duration 1956-8)	deaf child; deaf child hearing parent; family drama; isolation	
	Temoins sourds, temoins silencieux	Brigitte Lemaine	2008	Documentary	French; German; German Sign Language (DGS)	France		Documentary about Nazism's deaf genocide and the deaf people who escaped WWII death camps	deaf victim/witness	
Terminator: Salvation		McG	2009	Feature	American Sign Language (ASL); English	US		Towards start of film, character signs to girl to kill a terminator in American Sign Language (ASL)	action; sci-fi/fantasy	
There Will Be Blood		Paul Thomas Anderson	2007	Feature	American Sign Language (ASL); English	US	Stan	Oil prospector's son is deafened in mine explosion	deaf child; deaf child hearing parent; deafened by accident/violence	
Thieves		John Berry; Alfred Viola	1977	Feature	English	US		New York couple divorce comedy includes woman who doesn't realise her father is deaf until she's 39	Coda; comedy; family drama	
Think Me Nothing		Peter Wolf	1975	Feature	American Sign Language (ASL); English	US		Features American Sign Language (ASL- more details needed)		
The Thirteenth Year		Duwayne Dunham	1999	Children's feature	American Sign Language (ASL); English	US		Disney children's film about a 13-year-old boy who discovers his mother was a mermaid when his legs turn into a tail, includes passages in sign language		
This Space Between Us		Matthew Leutwyler	1999	Feature	English	US		Filmmaker mourns wife, includes a deaf side character (John Christiansen)	deaf actor; grief	
Threat Matrix		Daniell Voll	2003-4	Series	American Sign Language (ASL); English	US		Detective series includes Shoshannah Stern character in season 1, episodes 1-12	crime/mystery; deaf actor	
Three Colors: White		Krzysztof Kieslowski	1994	Feature	English; French; French Sign Language (LSF); Polish	France; Poland; Switzerland		Final scene of this French drama is in French Sign Language (LSF)	deaf child; isolation; school/university setting	
Three Friends	Sechinku	Soon-rye Yim	1996	Feature	Korean	South Korea		Three young men prepare for university entrance exams, one is deaf	friendship; school/university setting	
Through Deaf Eyes		Diane Garey; Lawrence R Hott	2007	Documentary	English	US		PBS documentary series about Deaf community, including 'Audism Unveiled' co-directed by H Dirksen-Bauman	Deaf Culture; deaf director	
Thursday's Children		Linsday Anderson and Guy Brenton	1954	Documentary	British Sign Language (BSL); English	US		Winner of Oscar for Best Documentary Short in 1954, about students of the Royal School for the Deaf in Margate	deaf child; Deaf Culture; School for the Deaf; school/university setting	
Till Human Voices Wake Us		Michael Petroni	2002	Feature	Australian Sign Language (Auslan); English	Australia		Romantic drama between a couple (Guy Pierce and Helena Bonham Carter) in a Victoria, Australia town, includes passages in sign language	drama; romance	
Tin Man		John G. Thomas	1983	Feature	English	US		A deaf mechanic invents a computer to hear and speak	deafness 'cured'; learning speech	
The Tingler		William Castle	1959	Feature	American Sign Language (ASL); English	US		Camp cult monster horror film including a deaf character who dies but 'cannot scream'	deaf victim/witness; horror	
To Live		Yimou Zhang	1994	Feature	Mandarin	China; Hong Kong		1940s family in China discovers son is going deaf	adapting to deafness; deaf child; deaf child hearing parent; progressive hearing loss	
Together		Lorenza Mazzetti and Denis Horne	1956	Feature	British Sign Language (BSL); English	UK		Short drama about friendship and solidarity between two deaf men who work the London docks	deaf actor; drama; friendship	
Tom Brown of Culver		William Wyler	1832	Feature	English	US		Man discovers his father wasn't really a war hero; includes deaf side character in restaurant	family drama	
Tommy		Ken Russell	1975	Feature	English	UK		The Who musical in which Tommy, a deafblind young man who lost his sight and hearing after his father's traumatic death, is worshipped for his pinball skills	Deaf Gain; deafblind character; deafened by accident/violence; music	
Tomorrow at Seven		Ray Enright	1933	Feature	American Sign Language (ASL); English	US		Haunted mansion thriller includes dialogue in American Sign Language (ASL)	thriller	
Topkapi		Jules Dassin	1964	Feature	English; French; German; Greek; Italian; Turkish	US		Jewel heist movie set in Topkapi museum (Ottoman palace where deaf assistants were favoured)	crimy/mystery; Deaf Gain	
Tormented		Jon Wright	2009	Feature	English	UK		Teen horror film in which murdered bullied teen comes back from dead to take revenge, includes taping headphones to boy's head and making his ears bleed with volume until he's deafened	deafened by sound exposure; horror; revenge/vigilante; survival narrative	
Transformer		Tau Ulv Lenskjold	1999	Short	Danish	Denmark		A deaf painter on a city roof is watched by a red puppet	deaf artist	
Transgeneration		Jeremy Simmons	2005	Documentary series	English	US		Documentary miniseries about eight transgender youths' transitions, one of them deaf	accessibility; queer	
Touch the Sound: A Sound Journey with Evelyn Glennie	 	Thomas Riedelsheimer	2004	Documentary	English	Germany; UK		German documentary about deaf Scottish percussionist's sense world	deaf musician/dancer; Deaf Gain; music; vibrations	
The Towering Inferno		John Guillermin	1974	Feature	English	US		Disaster movie of apartment fire in which deaf woman doesn't perceive the fire due to her deafness (despite smoke, heat, smell, etc.) Also includes little girl who signs with her mother	action; deaf child; deaf victim/witness	
The Trap		Sidney Hayers	1966	Feature	English	UK		Dark drama about brutal furtrapper who 'buys' himself a deaf wife who is coded as 'savage'	deaf victim/witness; hearing stalker/killer; wild child	
The Trial of the Incredible Hulk		Bill Bixby	1989	Feature	English	US		TV movie sequel to The Incredible Hulk includes original deaf actor Lou Ferrigno as the Hulk 	deaf superhero	
Tricks		Samuel Dore	2003	Short	British Sign Language (BSL)	UK		Hearing addict meets deaf call girl	deaf-hearing relationship; all/most dialogue in sign language; deaf character inspires hearing character’s self-actualisation; sex work	
Tristana		Luis Buñuel	1970	Feature	Spanish	Italy; France; Spain		Catherine Deneuve drama includes deaf supporting character who desires the main character	deaf director; drama	
The Twilight Zone		Robert Downey Sr.; John D. Hancock; Sigmund Neufeld Jr.	1985	Series	English	US		Healer' section of season 1 episode 3 ("Healer/Children's Zoo/Kentucky Rye") of this sci-fi series is about a rock with special powers and a deaf boy (series duration 1985-9)	deaf child; deaf mystic; deafness 'cured'; sci-fi/fantasy	
Twin Peaks		David Lynch	1990-1	Series	English	US		David Lynch's FBI boss character in this surreal series is Hard of Hearing; lots of humour around failing hearing aid he wears on chest	ageing deaf character as comic relief; hearing aid; sci-fi/fantasy	
Two in Love	Dvoe	Mikhail Bogin	1965	Short	Russian	Soviet Union		Short in which a deaf art restorer and sculptor is torn between two love interests	deaf-hearing relationship; hearing actor in deaf role; romance	
Two Shades of Blue		James D. Deck	1999	Feature	English	US		Erotic murder mystery in which main character contacts deaf lawyer	crime/mystery; deaf lawyer	
