English Title	Original Title	Director/Creator	Year	Format	Languages	Countries	Platforms	Summary	Tags	IMDb Tag Number
The Big Bang Theory		Mark Cendrowski	2007-19	Series	American Sign Language (ASL); English	US		In Season 5 Episode 4 ("The Wiggly Finger Catalyst", 2011), hearing man Raj dates deaf woman Emily (Katie Leclerc) who accepts his sporadic non verbalism but turns out to be a gold digger	comedy; deaf actor; deaf villain/suspect; deaf-hearing relationship; nonverbal character; romantic comedy	
Big Eyes		Tim Burton	2014	Feature	English; French; Italian	Canada; US		Biopic of painter Margaret Keane (Amy Adams) known for her figures with large eyes, who was partially deafened in childhood	biopic; deaf artist; deafened by accident/violence; drama	
The Biggest Obstacle		Gearóid Dolan	2021	Documentary	English	US		Documentary about disability activists' fight to make the NYC subway system truly accessible, includes non-signing hard of hearing person	accessibility; disability	
Black Lightning		Salim Akil	2017-21	Series	American Sign Language (ASL); English	US	Netflix	Black superhero series includes deaf actor Warren "Wawa" Snipes in episodes 6 and 7, who gives the hero his sign name	deaf actor; deaf superhero; Warren Snipes	
Black Sand		Mark Wood	2010	Feature	American Sign Language (ASL)	US		American Sign Language (ASL)-only horror film about a group of deaf people on an island	all/most dialogue in sign language; horror; survival narrative	
Black Summer		John Hyams; Karl Schaefer	2019-2021	Series	American Sign Language (ASL); English	US	Netflix	Spinoff of the series Z Nation depicting the early days of a zombie apocalypse includes deaf Syrian actor Mustafa Alabbsi in some episodes	apocalypse; deaf actor; Mustafa Alabbsi; survival narrative	
Blessing	Mugisha	Fisca Jean Paul Habimana	2021	Short	English; Rwandan Sign Language (RSL)	Rwanda		Short about the relationship between a deaf couple, shoemaker Eric and his wife, Marie Jeanne	drama; romance	
Blue Canvas of Youthful Days		Li Xi; Ning Yuan Yuan 	2024-	Series	English	China		A drama series about online friends meeting unexpectedly in real life, and manage to grow closer, and their friendship begins to develop into something else entirely.	drama; romance	tt34071601
Blue Sky		Pietro Nigro Famulari	2009	Short	English	US		Romance short between hearing boy who writes and deaf girl who draws	deaf artist; deaf-hearing relationship; romance	
Bluey		Richard Jeffery	2022	Children's series	Australian Sign Language (Auslan); English	Australia		Season 3 episode 30 ("Turtle Boy") of the children's series about an Australian cattle dog includes and normalises Auslan (series duration 2018-)	deaf child; Deaf Gain; signing animal	
